GRAFO,ENERGIA,PORTAIS,TAM,DIJ,AES,TIME_GRAFO,TIME_DIJ,TIME_AES,DENS
0,56.388199,2,5,0,0,2173.000000,995.000000,346.000000,1
1,56.388199,2,5,1,0,253.000000,354.000000,502.000000,1
0,228.706219,5,10,0,0,4988.000001,545.000000,257.000000,0
1,228.706219,5,10,1,0,718.000000,231.000000,214.000000,0
0,1299.853363,11,15,0,0,16389.000003,555.000000,253.000000,1
1,1299.853363,11,15,1,0,3225.000001,244.000000,214.000000,1
0,557.417926,18,20,0,0,26046.000004,442.000000,336.000000,0
1,557.417926,18,20,1,0,5116.000001,285.000000,254.000000,0
0,6165.431565,5,25,0,0,61868.000007,519.000000,1922.000000,1
1,6165.431565,5,25,1,0,13306.000002,257.000000,241.000000,1
0,2516.135465,15,30,0,0,83819.000010,778.000000,306.000000,0
1,2516.135465,15,30,1,0,18252.000003,265.000000,252.000000,0
0,4222.765984,173,35,0,0,139476.000030,519.000000,272.000000,1
1,4222.765984,173,35,1,0,30657.000007,293.000000,293.000000,1
0,6904.447488,2,40,0,0,181886.000034,576.000000,412.000000,0
1,6904.447488,2,40,1,0,39813.000008,267.000000,297.000000,0
0,22596.056055,160,45,0,0,304377.000061,710.000000,433.000000,1
1,22596.056055,160,45,1,0,65626.000014,364.000000,363.000000,1
0,4493.651099,13,50,0,0,378231.000065,773.000000,515.000000,0
1,4493.651099,13,50,1,0,80905.000015,474.000000,408.000000,0
0,23199.497104,397,55,0,0,547631.000132,933.000000,512.000000,1
1,23199.497104,397,55,1,0,119719.000027,3538.000000,916.000000,1
0,8273.562955,84,60,0,0,653447.000142,713.000000,450.000000,0
1,8273.562955,84,60,1,0,140139.000029,413.000000,397.000000,0
0,41400.964119,253,65,0,0,955594.000232,3104.000000,1411.000000,1
1,41400.964119,253,65,1,0,191093.000042,527.000000,782.000000,1
0,6544.096219,60,70,0,0,1103552.000293,1929.000000,1514.000000,0
1,6544.096219,60,70,1,0,215369.000052,869.000000,1047.000000,0
0,44657.297357,597,75,0,0,1628567.000460,2266.000000,814.000000,1
1,44657.297357,597,75,1,0,296982.000076,635.000000,1069.000000,1
0,15938.011469,13,80,0,0,1871055.000475,691.000000,425.000000,0
1,15938.011469,13,80,1,0,335601.000078,376.000000,591.000000,0
0,45527.279066,81,85,0,0,2678006.000627,20797.000000,817.000000,1
1,45527.279066,81,85,1,0,440502.000098,875.000000,919.000000,1
0,24673.853005,139,90,0,0,3012649.000666,1029.000000,541.000000,0
1,24673.853005,139,90,1,0,485357.000105,585.000000,871.000000,0
0,31562.530906,1424,95,0,0,3865173.001060,1709.000000,506.000000,1
1,31562.530906,1424,95,1,0,630451.000152,699.000000,444.000000,1
0,47850.017093,192,100,0,0,4384767.001095,1730.000000,2230.000000,0
1,47850.017093,192,100,1,0,692969.000158,1043.000000,921.000000,0
0,139327.229911,62,105,0,0,5903789.001234,1991.000000,1084.000000,1
1,139327.229911,62,105,1,0,869613.000175,733.000000,781.000000,1
0,51677.289544,22,110,0,0,6371669.001395,1082.000000,641.000000,0
1,51677.289544,22,110,1,0,931329.000194,616.000000,608.000000,0
0,166272.864760,696,115,0,0,8139076.001665,1527.000000,955.000000,1
1,166272.864760,696,115,1,0,1126034.000229,654.000000,606.000000,1
0,26482.085709,1,120,0,0,8950868.001680,916.000000,738.000000,0
1,26482.085709,1,120,1,0,1218206.000231,602.000000,767.000000,0
0,97608.168132,832,125,0,0,11684567.001841,1677.000000,39838.000000,1
1,97608.168132,832,125,1,0,1498802.000251,568.000000,542.000000,1
0,54898.821575,115,130,0,0,12802304.001882,1478.000000,1301.000000,0
1,54898.821575,115,130,1,0,1624379.000255,779.000000,939.000000,0
0,106073.464423,2833,135,0,0,15618291.002456,1924.000000,1104.000000,1
1,106073.464423,2833,135,1,0,1932971.000323,3155.000000,660.000000,1
0,98206.535465,191,140,0,0,16770710.002609,1648.000000,943.000000,0
1,98206.535465,191,140,1,0,2084631.000342,756.000000,842.000000,0
0,175213.498863,1651,145,0,0,20212806.004381,4528.000000,836.000000,1
1,175213.498863,1651,145,1,0,2407911.000514,703.000000,731.000000,1
0,97196.093667,61,150,0,0,22055641.004394,1766.000000,1012.000000,0
1,97196.093667,61,150,1,0,2582280.000516,759.000000,808.000000,0
0,225714.953033,26,155,0,0,27005019.004905,5494.000000,973.000000,1
1,225714.953033,26,155,1,0,2984049.000616,674.000000,2570.000000,1
0,89309.747381,44,160,0,0,29919728.004945,1740.000000,1137.000000,0
1,89309.747381,44,160,1,0,3238102.000621,1327.000000,763.000000,0
0,202206.798894,2225,165,0,0,34773549.006404,2559.000000,3627.000000,1
1,202206.798894,2225,165,1,0,3616514.000751,619.000000,863.000000,1
0,91024.984556,1877,170,0,0,37691185.006892,2001.000000,937.000000,0
1,91024.984556,1877,170,1,0,3896105.000802,875.000000,766.000000,0
0,203962.053582,66,175,0,0,46041061.006942,5255.000000,903.000000,1
1,203962.053582,66,175,1,0,4514982.000807,700.000000,2165.000000,1
0,139821.905533,1652,180,0,0,48985268.007654,2613.000000,975.000000,0
1,139821.905533,1652,180,1,0,4815863.000929,1125.000000,791.000000,0
0,128190.493817,3255,185,0,0,56822022.009165,5517.000000,893.000000,1
1,128190.493817,3255,185,1,0,5399119.001056,2811.000000,771.000000,1
0,127214.556575,967,190,0,0,59971863.009658,2279.000000,1809.000000,0
1,127214.556575,967,190,1,0,5644689.001102,1387.000000,1215.000000,0
0,188223.073515,1777,195,0,0,71469670.010236,48207.000000,868.000000,1
1,188223.073515,1777,195,1,0,6425001.001146,2097.000000,765.000000,1
0,193.966851,0,5,0,0,2346.000000,957.000000,342.000000,1
1,193.966851,0,5,1,0,294.000000,367.000000,275.000000,1
0,192.065166,1,10,0,0,5082.000000,563.000000,236.000000,0
1,192.065166,1,10,1,0,739.000000,219.000000,257.000000,0
0,2213.945490,41,15,0,0,13538.000004,532.000000,228.000000,1
1,2213.945490,41,15,1,0,2655.000001,195.000000,200.000000,1
0,1602.279223,28,20,0,0,22175.000006,377.000000,365.000000,0
1,1602.279223,28,20,1,0,4272.000002,1863.000000,235.000000,0
0,4245.070067,0,25,0,0,55885.000009,487.000000,256.000000,1
1,4245.070067,0,25,1,0,11904.000002,261.000000,231.000000,1
0,4016.041249,6,30,0,0,82044.000010,521.000000,270.000000,0
1,4016.041249,6,30,1,0,16774.000002,268.000000,267.000000,0
0,8150.085649,5,35,0,0,152916.000014,507.000000,303.000000,1
1,8150.085649,5,35,1,0,32708.000004,260.000000,302.000000,1
0,2207.834238,59,40,0,0,198466.000022,2346.000000,311.000000,0
1,2207.834238,59,40,1,0,41197.000005,272.000000,316.000000,0
0,8325.473750,0,45,0,0,368147.000022,683.000000,411.000000,1
1,8325.473750,0,45,1,0,70517.000005,359.000000,58126.000000,1
0,14611.396283,1,50,0,0,458192.000023,794.000000,495.000000,0
1,14611.396283,1,50,1,0,86578.000006,425.000000,41907.000000,0
0,33333.433353,7,55,0,0,756054.000024,1698.000000,802.000000,1
1,33333.433353,7,55,1,0,134769.000006,445.000000,641.000000,1
0,15941.907545,34,60,0,0,876238.000036,1092.000000,692.000000,0
1,15941.907545,34,60,1,0,155017.000008,370.000000,401.000000,0
0,52932.425283,2,65,0,0,1304596.000044,1338.000000,695.000000,1
1,52932.425283,2,65,1,0,218461.000009,394.000000,559.000000,1
0,13239.779159,119,70,0,0,1500685.000075,694.000000,400.000000,0
1,13239.779159,119,70,1,0,243624.000014,371.000000,472.000000,0
0,44180.186294,138,75,0,0,2244157.000117,2766.000000,2202.000000,1
1,44180.186294,138,75,1,0,333740.000020,441.000000,648.000000,1
0,35189.860487,30,80,0,0,2502156.000137,1163.000000,610.000000,0
1,35189.860487,30,80,1,0,370750.000024,667.000000,814.000000,0
0,88391.868919,88,85,0,0,3567185.000187,1356.000000,807.000000,1
1,88391.868919,88,85,1,0,540325.000030,822.000000,464.000000,1
0,29701.439703,10,90,0,0,3976719.000190,1446.000000,814.000000,0
1,29701.439703,10,90,1,0,602003.000031,587.000000,483.000000,0
0,97322.718423,327,95,0,0,5200212.000345,1552.000000,689.000000,1
1,97322.718423,327,95,1,0,743705.000049,677.000000,489.000000,1
0,19401.356091,677,100,0,0,5540444.000445,964.000000,617.000000,0
1,19401.356091,677,100,1,0,790991.000065,513.000000,779.000000,0
0,56456.236611,72,105,0,0,7205778.000589,1997.000000,6403.000000,1
1,56456.236611,72,105,1,0,987456.000083,620.000000,578.000000,1
0,45170.756652,196,110,0,0,7841849.000639,1070.000000,887.000000,0
1,45170.756652,196,110,1,0,1058911.000089,37099.000000,546.000000,0
0,81585.713281,1310,115,0,0,9932474.000894,1380.000000,739.000000,1
1,81585.713281,1310,115,1,0,1272419.000121,515.000000,488.000000,1
0,44016.629091,392,120,0,0,10653909.000984,976.000000,856.000000,0
1,44016.629091,392,120,1,0,1354405.000131,567.000000,39861.000000,0
0,108245.237649,1650,125,0,0,12750575.001654,1437.000000,2857.000000,1
